,Name,Purpose,Unnamed: 0,Blob,Sentiment Score
394,Williams-Phillips, Ergonomic local synergy for brand user-centric markets,, Ergonomic local synergy for brand user-centric markets,0.0
393,Briggs and Sons, Multi-layered web-enabled paradigm for syndicate cutting-edge applications,, Multi-layered web-enabled paradigm for syndicate cutting-edge applications,0.0
392,"Robertson, Powell and Wise", Phased 6thgeneration hierarchy for engage dynamic convergence,, Phased 6thgeneration hierarchy for engage dynamic convergence,0.0
391,Morrison and Sons, Mandatory disintermediate neural-net for envisioneer visionary markets,, Mandatory disintermediate neural-net for envisioneer visionary markets,0.0
390,"Turner, Jackson and Santos", Inverse demand-driven firmware for deliver e-business relationships,, Inverse demand-driven firmware for deliver e-business relationships,0.0
389,"Mitchell, Olson and Alexander", Sharable local analyzer for whiteboard cutting-edge eyeballs,, Sharable local analyzer for whiteboard cutting-edge eyeballs,0.0
388,Winters Group, Switchable modular utilization for morph front-end platforms,, Switchable modular utilization for morph front-end platforms,0.0
387,Miller-Smith, Multi-channeled human-resource conglomeration for integrate user-centric eyeballs,, Multi-channeled human-resource conglomeration for integrate user-centric eyeballs,0.0
386,Bradley LLC, Integrated actuating open architecture for expedite B2B supply-chains,, Integrated actuating open architecture for expedite B2B supply-chains,0.0
384,Mcdonald and Sons, Self-enabling logistical toolset for embrace user-centric schemas,, Self-enabling logistical toolset for embrace user-centric schemas,0.0
398,Chambers Ltd, Organic high-level neural-net for repurpose revolutionary eyeballs,, Organic high-level neural-net for repurpose revolutionary eyeballs,0.0
383,Gonzalez and Sons, Robust 3rdgeneration secured line for incubate global solutions,, Robust 3rdgeneration secured line for incubate global solutions,0.0
382,"Norman, Lindsey and Schmidt", Expanded responsive emulation for optimize 24/7 eyeballs,, Expanded responsive emulation for optimize 24/7 eyeballs,0.0
381,Gonzalez-Strickland, Realigned zero tolerance intranet for iterate collaborative applications,, Realigned zero tolerance intranet for iterate collaborative applications,0.0
262,Nelson-Brown,Function-based systemic contingency for re-contextualize visionary mindshare,,Function-based systemic contingency for re-contextualize visionary mindshare,0.0
379,Thompson-Roy, Public-key human-resource policy for reinvent extensible platforms,, Public-key human-resource policy for reinvent extensible platforms,0.0
378,"Buchanan, Thompson and Frye", Sharable 6thgeneration attitude for synthesize back-end initiatives,, Sharable 6thgeneration attitude for synthesize back-end initiatives,0.0
375,Wright PLC, Profit-focused web-enabled customer loyalty for extend collaborative paradigms,, Profit-focused web-enabled customer loyalty for extend collaborative paradigms,0.0
374,"Green, Holland and Bennett", Enhanced clear-thinking extranet for visualize killer e-markets,, Enhanced clear-thinking extranet for visualize killer e-markets,0.0
373,Lee and Sons, Stand-alone optimal strategy for engineer ubiquitous supply-chains,, Stand-alone optimal strategy for engineer ubiquitous supply-chains,0.0
372,Johnson-Washington, Organized encompassing definition for syndicate web-enabled niches,, Organized encompassing definition for syndicate web-enabled niches,0.0
371,Hicks-Hayes, Phased dedicated paradigm for benchmark front-end e-tailers,, Phased dedicated paradigm for benchmark front-end e-tailers,0.0
397,"Harris, Young and Burns", Inverse stable interface for facilitate leading-edge e-business,, Inverse stable interface for facilitate leading-edge e-business,0.0
399,"Montoya, Camacho and Harrison",Compatible bottom-line structure for grow vertical e-services,0.0,Compatible bottom-line structure for grow vertical e-services,0.0
433,Orr-Pierce,Polarized dedicated encoding for strategize plug-and-play methodologies,34.0,Polarized dedicated encoding for strategize plug-and-play methodologies,0.0
417,Hanna Group,Team-oriented grid-enabled workforce for enhance magnetic applications,18.0,Team-oriented grid-enabled workforce for enhance magnetic applications,0.0
431,Le-Brock,Team-oriented clear-thinking productivity for grow value-added e-services,32.0,Team-oriented clear-thinking productivity for grow value-added e-services,0.0
430,Castillo PLC,Vision-oriented well-modulated capacity for leverage world-class web services,31.0,Vision-oriented well-modulated capacity for leverage world-class web services,0.0
429,King-Washington,Reverse-engineered mobile middleware for expedite cross-media vortals,30.0,Reverse-engineered mobile middleware for expedite cross-media vortals,0.0
428,Hicks-Lewis,Persistent zero tolerance synergy for productize distributed models,29.0,Persistent zero tolerance synergy for productize distributed models,0.0
427,Farley Group,Ergonomic dedicated function for scale customized action-items,28.0,Ergonomic dedicated function for scale customized action-items,0.0
426,Landry-Schmidt,Inverse content-based process improvement for envisioneer plug-and-play models,27.0,Inverse content-based process improvement for envisioneer plug-and-play models,0.0
425,Ball LLC,Exclusive intangible Graphic Interface for target back-end methodologies,26.0,Exclusive intangible Graphic Interface for target back-end methodologies,0.0
424,"Vance, Michael and Stafford",Triple-buffered transitional encoding for grow impactful initiatives,25.0,Triple-buffered transitional encoding for grow impactful initiatives,0.0
421,Levy-Garrison,Proactive multi-tasking approach for mesh next-generation vortals,22.0,Proactive multi-tasking approach for mesh next-generation vortals,0.0
419,Smith-Farmer,Up-sized object-oriented utilization for exploit frictionless initiatives,20.0,Up-sized object-oriented utilization for exploit frictionless initiatives,0.0
418,Walter PLC,Fundamental explicit extranet for enable integrated action-items,19.0,Fundamental explicit extranet for enable integrated action-items,0.0
416,Schmidt-Brown,Open-architected grid-enabled projection for deploy next-generation content,17.0,Open-architected grid-enabled projection for deploy next-generation content,0.0
400,Walker Group,Self-enabling asynchronous encryption for embrace revolutionary functionalities,1.0,Self-enabling asynchronous encryption for embrace revolutionary functionalities,0.0
415,"Huffman, Norton and Cantu",Cloned client-driven system engine for envisioneer killer mindshare,16.0,Cloned client-driven system engine for envisioneer killer mindshare,0.0
414,Powell Ltd,Enterprise-wide intangible contingency for extend frictionless infrastructures,15.0,Enterprise-wide intangible contingency for extend frictionless infrastructures,0.0
413,"Mcclain, Mccarthy and Lozano",Upgradable clear-thinking data-warehouse for drive killer convergence,14.0,Upgradable clear-thinking data-warehouse for drive killer convergence,0.0
412,Hill PLC,Self-enabling global firmware for synergize web-enabled eyeballs,13.0,Self-enabling global firmware for synergize web-enabled eyeballs,0.0
407,Carroll Group,Horizontal national capability for extend bricks-and-clicks platforms,8.0,Horizontal national capability for extend bricks-and-clicks platforms,0.0
406,Knight Inc,Fundamental global help-desk for integrate web-enabled infrastructures,7.0,Fundamental global help-desk for integrate web-enabled infrastructures,0.0
405,Yu-Mckenzie,Ergonomic asynchronous interface for facilitate leading-edge partnerships,6.0,Ergonomic asynchronous interface for facilitate leading-edge partnerships,0.0
404,Massey-Atkinson,Ameliorated systematic database for expedite value-added e-commerce,5.0,Ameliorated systematic database for expedite value-added e-commerce,0.0
403,Cruz-Powell,De-engineered 5thgeneration database for morph proactive platforms,4.0,De-engineered 5thgeneration database for morph proactive platforms,0.0
402,"Smith, Richardson and Wright",Devolved homogeneous projection for embrace integrated e-commerce,3.0,Devolved homogeneous projection for embrace integrated e-commerce,0.0
401,Maldonado-Curtis,Switchable background customer loyalty for whiteboard impactful eyeballs,2.0,Switchable background customer loyalty for whiteboard impactful eyeballs,0.0
263,Davis-Flores,Up-sized object-oriented superstructure for aggregate bricks-and-clicks channels,,Up-sized object-oriented superstructure for aggregate bricks-and-clicks channels,0.0
249,Francis and Sons,Automated 4thgeneration initiative for seize distributed synergies,,Automated 4thgeneration initiative for seize distributed synergies,0.0
261,Johnson-Wilson,Grass-roots neutral focus group for optimize granular infrastructures,,Grass-roots neutral focus group for optimize granular infrastructures,0.0
66,Aguilar LLC,Customer-focused hybrid database for optimize e-business models,,Customer-focused hybrid database for optimize e-business models,0.0
96,Fleming Inc,Implemented intermediate matrices for orchestrate magnetic experiences,,Implemented intermediate matrices for orchestrate magnetic experiences,0.0
95,"Allen, Evans and Patel",Front-line upward-trending throughput for e-enable viral infrastructures,,Front-line upward-trending throughput for e-enable viral infrastructures,0.0
93,Anderson LLC,Digitized analyzing secured line for synthesize efficient e-tailers,,Digitized analyzing secured line for synthesize efficient e-tailers,0.0
92,Zhang-Hill,Ergonomic directional hub for revolutionize end-to-end models,,Ergonomic directional hub for revolutionize end-to-end models,0.0
91,"Cox, Livingston and Davis",Total non-volatile firmware for grow world-class networks,,Total non-volatile firmware for grow world-class networks,0.0
90,Tran-Morris,Operative exuding neural-net for matrix value-added vortals,,Operative exuding neural-net for matrix value-added vortals,0.0
89,Martinez-Miles,Reactive context-sensitive leverage for optimize e-business supply-chains,,Reactive context-sensitive leverage for optimize e-business supply-chains,0.0
88,Wilson-Hernandez,Open-architected bottom-line conglomeration for harness end-to-end info-mediaries,,Open-architected bottom-line conglomeration for harness end-to-end info-mediaries,0.0
87,"Norton, Santana and Evans",Automated reciprocal service-desk for unleash virtual e-commerce,,Automated reciprocal service-desk for unleash virtual e-commerce,0.0
86,Merritt Ltd,Sharable maximized moratorium for empower cutting-edge niches,,Sharable maximized moratorium for empower cutting-edge niches,0.0
82,Weiss-Hernandez,Customizable background help-desk for productize collaborative metrics,,Customizable background help-desk for productize collaborative metrics,0.0
81,"Hall, Jackson and Robertson",Down-sized modular website for synthesize virtual ROI,,Down-sized modular website for synthesize virtual ROI,0.0
80,Turner-Nelson,Programmable local website for visualize enterprise supply-chains,,Programmable local website for visualize enterprise supply-chains,0.0
79,Mclean and Sons,Open-architected modular ability for integrate turn-key methodologies,,Open-architected modular ability for integrate turn-key methodologies,0.0
78,"Dawson, Cardenas and Flores",Phased local access for integrate B2C web-readiness,,Phased local access for integrate B2C web-readiness,0.0
77,Taylor Ltd,Progressive mobile info-mediaries for benchmark bleeding-edge niches,,Progressive mobile info-mediaries for benchmark bleeding-edge niches,0.0
76,Andrews Group,Total eco-centric interface for whiteboard killer mindshare,,Total eco-centric interface for whiteboard killer mindshare,0.0
75,Baker-Johnson,Horizontal grid-enabled function for seize global networks,,Horizontal grid-enabled function for seize global networks,0.0
74,Cox-Sandoval,Reactive optimal solution for generate e-business metrics,,Reactive optimal solution for generate e-business metrics,0.0
73,"Smith, Richardson and Johnson",Configurable fault-tolerant infrastructure for transition collaborative communities,,Configurable fault-tolerant infrastructure for transition collaborative communities,0.0
72,"Bird, Parker and Cole",Future-proofed clear-thinking approach for harness B2B web-readiness,,Future-proofed clear-thinking approach for harness B2B web-readiness,0.0
71,Fritz Group,Robust directional functionalities for morph open-source users,,Robust directional functionalities for morph open-source users,0.0
70,Clark Ltd,Business-focused fault-tolerant initiative for visualize dot-com e-services,,Business-focused fault-tolerant initiative for visualize dot-com e-services,0.0
69,"Rice, Holden and Gomez",Switchable methodical budgetary management for expedite proactive networks,,Switchable methodical budgetary management for expedite proactive networks,0.0
68,Woods Inc,Distributed well-modulated utilization for morph cross-platform content,,Distributed well-modulated utilization for morph cross-platform content,0.0
97,"Ferguson, Brown and Floyd",Devolved zero administration middleware for deploy transparent info-mediaries,,Devolved zero administration middleware for deploy transparent info-mediaries,0.0
98,"Wong, Williams and Moreno",Quality-focused tangible software for exploit world-class applications,,Quality-focused tangible software for exploit world-class applications,0.0
99,Pennington and Sons,Proactive neutral definition for utilize wireless deliverables,,Proactive neutral definition for utilize wireless deliverables,0.0
116,Williams Group,Optimized tangible installation for embrace distributed synergies,,Optimized tangible installation for embrace distributed synergies,0.0
131,"Williams, Gomez and Butler'","Polarized multimedia Graphical User Interface for morph distributed '
 'initiatives'",,"Polarized multimedia Graphical User Interface for morph distributed '
 'initiatives'",0.0
260,Castillo-Schroeder,Vision-oriented national secured line for productize turn-key convergence,,Vision-oriented national secured line for productize turn-key convergence,0.0
127,Reed-Wolfe,Optional 24/7 implementation for enable sticky applications,,Optional 24/7 implementation for enable sticky applications,0.0
126,Ball and Sons',"Quality-focused asymmetric toolset for harness bleeding-edge '
 'platforms'",,"Quality-focused asymmetric toolset for harness bleeding-edge '
 'platforms'",0.0
125,Ramos and Sons,Re-engineered dedicated paradigm for cultivate intuitive users,,Re-engineered dedicated paradigm for cultivate intuitive users,0.0
124,Hayes-Hall,Automated content-based paradigm for generate real-time applications,,Automated content-based paradigm for generate real-time applications,0.0
122,"Coleman, Miller and Baldwin'","Progressive cohesive infrastructure for innovate open-source '
 'functionalities'",,"Progressive cohesive infrastructure for innovate open-source '
 'functionalities'",0.0
121,Pratt-Hoffman,Multi-lateral encompassing contingency for enable proactive vortals,,Multi-lateral encompassing contingency for enable proactive vortals,0.0
120,Grant-Nichols,Automated background frame for evolve best-of-breed paradigms,,Automated background frame for evolve best-of-breed paradigms,0.0
119,Hudson Group',"Cross-platform background Graphic Interface for re-contextualize '
 '24/7 applications'",,"Cross-platform background Graphic Interface for re-contextualize '
 '24/7 applications'",0.0
118,Wells-Allen,User-centric maximized hierarchy for unleash one-to-one content,,User-centric maximized hierarchy for unleash one-to-one content,0.0
115,"Castaneda, Myers and Ray",Persevering 24hour strategy for streamline user-centric relationships,,Persevering 24hour strategy for streamline user-centric relationships,0.0
100,Perry and Sons,Realigned zero-defect conglomeration for generate back-end portals,,Realigned zero-defect conglomeration for generate back-end portals,0.0
113,Stanton-Myers',"Exclusive tangible approach for re-intermediate efficient '
 'partnerships'",,"Exclusive tangible approach for re-intermediate efficient '
 'partnerships'",0.0
112,Hayden-Rogers,Horizontal multi-state ability for matrix end-to-end eyeballs,,Horizontal multi-state ability for matrix end-to-end eyeballs,0.0
111,Curry-Jones,Balanced responsive superstructure for cultivate e-business models,,Balanced responsive superstructure for cultivate e-business models,0.0
110,Holmes LLC,Robust homogeneous forecast for re-intermediate vertical interfaces,,Robust homogeneous forecast for re-intermediate vertical interfaces,0.0
109,"Oconnor, Scott and Harmon",Adaptive grid-enabled ability for deploy collaborative architectures,,Adaptive grid-enabled ability for deploy collaborative architectures,0.0
107,Estrada-Harvey,Balanced local hub for engineer granular mindshare,,Balanced local hub for engineer granular mindshare,0.0
106,Edwards-Moyer',"Fully-configurable context-sensitive throughput for harness global '
 'deliverables'",,"Fully-configurable context-sensitive throughput for harness global '
 'deliverables'",0.0
105,Bray Inc,Synchronized directional attitude for syndicate next-generation ROI,,Synchronized directional attitude for syndicate next-generation ROI,0.0
104,"Burton, Kelly and Deleon",Business-focused motivating adapter for innovate killer e-commerce,,Business-focused motivating adapter for innovate killer e-commerce,0.0
103,Barnes-Griffin',"Switchable eco-centric throughput for revolutionize plug-and-play '
 'e-business'",,"Switchable eco-centric throughput for revolutionize plug-and-play '
 'e-business'",0.0
101,"Peterson, Hernandez and Snyder",Ergonomic 5thgeneration solution for orchestrate e-business niches,,Ergonomic 5thgeneration solution for orchestrate e-business niches,0.0
67,Tate-Smith,Persevering methodical data-warehouse for utilize extensible schemas,,Persevering methodical data-warehouse for utilize extensible schemas,0.0
65,"Peck, Kelley and Gordon",Phased exuding service-desk for revolutionize user-centric architectures,,Phased exuding service-desk for revolutionize user-centric architectures,0.0
134,Estes-Navarro,User-centric stable capacity for revolutionize B2C functionalities,,User-centric stable capacity for revolutionize B2C functionalities,0.0
64,"Arnold, Parker and Fischer",Automated value-added strategy for cultivate granular relationships,,Automated value-added strategy for cultivate granular relationships,0.0
30,Martinez-Camacho," ""Expanded tangible support for unleash collaborative solutions",," ""Expanded tangible support for unleash collaborative solutions",0.0
29,"Huynh, Williams and Hernandez"," ""User-friendly grid-enabled capability for visualize web-enabled web services",," ""User-friendly grid-enabled capability for visualize web-enabled web services",0.0
28,"Murillo, Peterson and Mckinney"," ""Integrated global info-mediaries for strategize frictionless interfaces",," ""Integrated global info-mediaries for strategize frictionless interfaces",0.0
27,Tanner-Hamilton," ""Business-focused value-added projection for reinvent efficient channels",," ""Business-focused value-added projection for reinvent efficient channels",0.0
26,"Richmond, Jones and Chen"," ""Re-contextualized human-resource solution for generate interactive markets",," ""Re-contextualized human-resource solution for generate interactive markets",0.0
25,Adams-Foley," ""Reactive exuding conglomeration for enable sticky technologies",," ""Reactive exuding conglomeration for enable sticky technologies",0.0
23,"Barker, Moore and Patton"," ""Mandatory 5thgeneration structure for synergize integrated experiences",," ""Mandatory 5thgeneration structure for synergize integrated experiences",0.0
22,Murphy-Pittman," ""Up-sized real-time analyzer for leverage real-time portals",," ""Up-sized real-time analyzer for leverage real-time portals",0.0
21,Wilson Inc," ""Total human-resource Graphical User Interface for scale integrated e-tailers",," ""Total human-resource Graphical User Interface for scale integrated e-tailers",0.0
19,Mitchell-Vasquez," ""Phased logistical productivity for embrace virtual eyeballs",," ""Phased logistical productivity for embrace virtual eyeballs",0.0
18,Howell Group," ""Networked value-added migration for utilize end-to-end metrics",," ""Networked value-added migration for utilize end-to-end metrics",0.0
17,"Davidson, Hoover and Reese"," ""Ameliorated bi-directional framework for e-enable cross-media networks",," ""Ameliorated bi-directional framework for e-enable cross-media networks",0.0
16,Powell-Holland," ""Diverse 3rdgeneration standardization for utilize holistic infrastructures",," ""Diverse 3rdgeneration standardization for utilize holistic infrastructures",0.0
15,Reese Group," ""Reverse-engineered multimedia synergy for matrix impactful portals",," ""Reverse-engineered multimedia synergy for matrix impactful portals",0.0
14,Barnett Inc," ""Diverse zero-defect solution for morph out-of-the-box e-markets",," ""Diverse zero-defect solution for morph out-of-the-box e-markets",0.0
13,Blackburn LLC," ""Enterprise-wide 24hour infrastructure for matrix cross-platform bandwidth",," ""Enterprise-wide 24hour infrastructure for matrix cross-platform bandwidth",0.0
12,Jones-Anderson," ""Ameliorated encompassing software for productize out-of-the-box communities",," ""Ameliorated encompassing software for productize out-of-the-box communities",0.0
11,Martinez-Gaines," ""Optimized uniform model for iterate virtual infrastructures",," ""Optimized uniform model for iterate virtual infrastructures",0.0
10,Garrett-Adams," ""De-engineered multimedia installation for streamline bleeding-edge ROI",," ""De-engineered multimedia installation for streamline bleeding-edge ROI",0.0
9,Rojas Group," ""Cross-platform optimal firmware for revolutionize best-of-breed experiences",," ""Cross-platform optimal firmware for revolutionize best-of-breed experiences",0.0
7,Barry-Sanders," ""Fully-configurable 4thgeneration throughput for synthesize customized info-mediaries",," ""Fully-configurable 4thgeneration throughput for synthesize customized info-mediaries",0.0
6,Garrett LLC," ""Team-oriented interactive solution for synthesize viral niches",," ""Team-oriented interactive solution for synthesize viral niches",0.0
4,"Russo, Petersen and Ibarra"," ""Exclusive optimizing budgetary management for architect out-of-the-box deliverables",," ""Exclusive optimizing budgetary management for architect out-of-the-box deliverables",0.0
3,Barrett Ltd," ""Team-oriented 24hour emulation for deploy best-of-breed channels",," ""Team-oriented 24hour emulation for deploy best-of-breed channels",0.0
2,"Rogers, Howe and Mendez"," ""Cross-group zero-defect methodology for aggregate e-business interfaces",," ""Cross-group zero-defect methodology for aggregate e-business interfaces",0.0
31,Bailey-Lopez," ""Multi-lateral discrete pricing structure for maximize B2B portals",," ""Multi-lateral discrete pricing structure for maximize B2B portals",0.0
32,Wright-Finley," ""Intuitive fresh-thinking algorithm for generate user-centric e-tailers",," ""Intuitive fresh-thinking algorithm for generate user-centric e-tailers",0.0
33,"Rogers, Gaines and Harris"," ""Realigned multimedia infrastructure for benchmark end-to-end metrics",," ""Realigned multimedia infrastructure for benchmark end-to-end metrics",0.0
50,"Rivas, Young and Davis",Compatible 4thgeneration ability for transform next-generation e-tailers,,Compatible 4thgeneration ability for transform next-generation e-tailers,0.0
63,"Wilson, Bryant and Morrison",Progressive executive hub for leverage front-end architectures,,Progressive executive hub for leverage front-end architectures,0.0
62,"Robinson, Kelly and Gonzalez",User-centric 3rdgeneration contingency for facilitate mission-critical web-readiness,,User-centric 3rdgeneration contingency for facilitate mission-critical web-readiness,0.0
61,Fernandez LLC,Enhanced even-keeled encoding for utilize value-added applications,,Enhanced even-keeled encoding for utilize value-added applications,0.0
60,"Bernard, Wolf and Nicholson",Cross-platform zero tolerance customer loyalty for innovate value-added e-markets,,Cross-platform zero tolerance customer loyalty for innovate value-added e-markets,0.0
59,Tyler-Gill,De-engineered interactive function for architect 24/7 supply-chains,,De-engineered interactive function for architect 24/7 supply-chains,0.0
57,Wilson-Brown,Enterprise-wide analyzing architecture for disintermediate cross-media eyeballs,,Enterprise-wide analyzing architecture for disintermediate cross-media eyeballs,0.0
56,Chavez-Short,Progressive local database for seize e-business content,,Progressive local database for seize e-business content,0.0
55,Sanders-Hernandez,Progressive local system engine for drive scalable technologies,,Progressive local system engine for drive scalable technologies,0.0
54,"Woods, Campbell and Ramos",Persistent systemic solution for embrace turn-key schemas,,Persistent systemic solution for embrace turn-key schemas,0.0
52,"Kim, Schultz and Johnson",Visionary asymmetric frame for syndicate collaborative channels,,Visionary asymmetric frame for syndicate collaborative channels,0.0
51,"Patel, Chapman and Chapman",Universal client-server customer loyalty for embrace distributed functionalities,,Universal client-server customer loyalty for embrace distributed functionalities,0.0
48,Hughes Inc," ""Digitized hybrid pricing structure for brand revolutionary synergies",," ""Digitized hybrid pricing structure for brand revolutionary synergies",0.0
34,Mendez-Waters," ""Automated non-volatile initiative for brand extensible channels",," ""Automated non-volatile initiative for brand extensible channels",0.0
47,"Murillo, Brewer and Kim"," ""Object-based multi-state Local Area Network for redefine B2C web-readiness",," ""Object-based multi-state Local Area Network for redefine B2C web-readiness",0.0
46,"Ramos, Phillips and Walters"," ""Operative multi-state infrastructure for enhance clicks-and-mortar solutions",," ""Operative multi-state infrastructure for enhance clicks-and-mortar solutions",0.0
45,Woods-Gould," ""Implemented client-server function for deploy web-enabled metrics",," ""Implemented client-server function for deploy web-enabled metrics",0.0
44,Thomas-Pittman," ""Polarized zero tolerance ability for syndicate open-source functionalities",," ""Polarized zero tolerance ability for syndicate open-source functionalities",0.0
43,Jennings PLC," ""Profit-focused multi-state database for architect B2C platforms",," ""Profit-focused multi-state database for architect B2C platforms",0.0
42,Hudson LLC," ""Right-sized executive software for syndicate next-generation e-services",," ""Right-sized executive software for syndicate next-generation e-services",0.0
41,James PLC," ""Distributed bandwidth-monitored interface for engineer e-business experiences",," ""Distributed bandwidth-monitored interface for engineer e-business experiences",0.0
38,Hall-Jones," ""Object-based empowering algorithm for matrix end-to-end vortals",," ""Object-based empowering algorithm for matrix end-to-end vortals",0.0
37,Larsen and Sons," ""Distributed actuating instruction set for harness enterprise experiences",," ""Distributed actuating instruction set for harness enterprise experiences",0.0
36,Lowe-Day," ""Organized zero tolerance contingency for syndicate dot-com functionalities",," ""Organized zero tolerance contingency for syndicate dot-com functionalities",0.0
35,"Williams, Miller and Anderson"," ""Total 4thgeneration adapter for benchmark end-to-end mindshare",," ""Total 4thgeneration adapter for benchmark end-to-end mindshare",0.0
132,"Le, Contreras and Campbell",Horizontal bi-directional policy for benchmark granular experiences,,Horizontal bi-directional policy for benchmark granular experiences,0.0
498,"Jenkins, Perez and Carrillo",Automated empowering knowledge user for integrate frictionless communities,,Automated empowering knowledge user for integrate frictionless communities,0.0
204,Garcia LLC,Customer-focused system-worthy migration for enhance out-of-the-box paradigms,,Customer-focused system-worthy migration for enhance out-of-the-box paradigms,0.0
209,Russell-Smith,Total radical function for enable enterprise relationships,,Total radical function for enable enterprise relationships,0.0
215,Taylor LLC,Visionary exuding collaboration for engineer frictionless e-commerce,,Visionary exuding collaboration for engineer frictionless e-commerce,0.0
214,White-Everett,Reverse-engineered client-driven functionalities for maximize proactive partnerships,,Reverse-engineered client-driven functionalities for maximize proactive partnerships,0.0
246,"Lang, Brown and Rodriguez",Inverse incremental emulation for visualize cutting-edge ROI,,Inverse incremental emulation for visualize cutting-edge ROI,0.0
213,Rivera-Boyer,Polarized empowering extranet for drive extensible e-services,,Polarized empowering extranet for drive extensible e-services,0.0
247,Joseph-Warren,Decentralized explicit approach for streamline one-to-one infrastructures,,Decentralized explicit approach for streamline one-to-one infrastructures,0.0
212,"Duran, Johnson and Stephens",Business-focused bottom-line instruction set for streamline world-class e-commerce,,Business-focused bottom-line instruction set for streamline world-class e-commerce,0.0
248,"Bryant LLC
Purpose: Diverse 6thgeneration emulation for aggregate distributed portals
Purpose: Reverse-engineered clear-thinking budgetary management for visualize viral interfaces
Purpose: Devolved logistical open architecture for incentivize innovative info-mediaries
Purpose: Digitized motivating encryption for transition bleeding-edge relationships
Purpose: Multi-lateral clear-thinking middleware for enhance back-end functionalities
Purpose: Customer-focused system-worthy migration for enhance out-of-the-box paradigms
Purpose: Assimilated empowering middleware for orchestrate web-enabled networks
Purpose: Innovative demand-driven challenge for streamline sticky niches
Purpose: Cross-group motivating instruction set for aggregate 24/365 portals
Purpose: Virtual system-worthy solution for aggregate B2B solutions
Purpose: Total radical function for enable enterprise relationships
Purpose: Self-enabling foreground algorithm for revolutionize 24/365 niches
Purpose: Multi-layered bandwidth-monitored superstructure for benchmark 24/365 metrics
Purpose: Business-focused bottom-line instruction set for streamline world-class e-commerce
Purpose: Polarized empowering extranet for drive extensible e-services
Purpose: Reverse-engineered client-driven functionalities for maximize proactive partnerships
Purpose: Visionary exuding collaboration for engineer frictionless e-commerce
Purpose: Cross-platform fresh-thinking Graphical User Interface for morph extensible deliverables
Purpose: Triple-buffered incremental core for syndicate best-of-breed applications
Purpose: Adaptive non-volatile definition for iterate rich supply-chains
Purpose: Re-engineered stable neural-net for innovate synergistic portals
Purpose: Streamlined secondary strategy for benchmark web-enabled e-business
Purpose: Compatible intermediate forecast for evolve out-of-the-box web services
Purpose: Assimilated zero administration customer loyalty for integrate 24/365 action-items
Purpose: Ameliorated leadingedge throughput for utilize 24/7 initiatives
Purpose: Phased content-based hardware for extend front-end vortals
Purpose: Vision-oriented foreground implementation for envisioneer viral web-readiness
Purpose: Quality-focused even-keeled encryption for e-enable leading-edge e-tailers
Purpose: Fundamental intermediate help-desk for exploit transparent schemas
Purpose: Ameliorated context-sensitive project for incubate out-of-the-box web services
Purpose: Integrated clear-thinking groupware for iterate virtual markets
Purpose: De-engineered zero tolerance secured line for morph robust models
Purpose: Programmable 4thgeneration conglomeration for unleash value-added info-mediaries
Purpose: Extended even-keeled capability for embrace holistic content
Purpose: Polarized 5thgeneration policy for incubate world-class interfaces
Purpose: Team-oriented regional throughput for repurpose strategic info-mediaries
Purpose: Proactive zero-defect middleware for monetize holistic bandwidth
Purpose: Focused upward-trending budgetary management for deliver next-generation infrastructures
Purpose: Switchable non-volatile support for grow transparent e-business
Purpose: Re-engineered client-server product for target cross-platform users
Purpose: Visionary bi-directional structure for strategize 24/365 infrastructures
Purpose: Optimized system-worthy workforce for harness bleeding-edge schemas
Purpose: Compatible impactful core for redefine dot-com networks
Purpose: Monitored actuating migration for reinvent out-of-the-box bandwidth
Purpose: Face-to-face composite firmware for productize frictionless users
Purpose: Team-oriented analyzing collaboration for enhance efficient models
Purpose: Triple-buffered human-resource knowledge user for cultivate dot-com action-items
Purpose: Inverse incremental emulation for visualize cutting-edge ROI
Purpose: Decentralized explicit approach for streamline one-to-one infrastructures
Purpose: Cross-platform explicit hardware for integrate world-class systems",Cross-platform explicit hardware for integrate world-class systems,,Cross-platform explicit hardware for integrate world-class systems,0.0
250,Shelton PLC,Inverse leadingedge model for deliver 24/365 content,,Inverse leadingedge model for deliver 24/365 content,0.0
211,Cox and Sons,Multi-layered bandwidth-monitored superstructure for benchmark 24/365 metrics,,Multi-layered bandwidth-monitored superstructure for benchmark 24/365 metrics,0.0
210,Smith-Thompson,Self-enabling foreground algorithm for revolutionize 24/365 niches,,Self-enabling foreground algorithm for revolutionize 24/365 niches,0.0
208,"Johnston, Crawford and Richardson",Virtual system-worthy solution for aggregate B2B solutions,,Virtual system-worthy solution for aggregate B2B solutions,0.0
217,"Allen, Thomas and Martinez",Triple-buffered incremental core for syndicate best-of-breed applications,,Triple-buffered incremental core for syndicate best-of-breed applications,0.0
207,Mcdonald-Johnson,Cross-group motivating instruction set for aggregate 24/365 portals,,Cross-group motivating instruction set for aggregate 24/365 portals,0.0
205,Roberts Group,Assimilated empowering middleware for orchestrate web-enabled networks,,Assimilated empowering middleware for orchestrate web-enabled networks,0.0
137,Calderon-Cooke,Networked didactic adapter for synergize sexy technologies,,Networked didactic adapter for synergize sexy technologies,0.0
203,Nguyen-Welch,Multi-lateral clear-thinking middleware for enhance back-end functionalities,,Multi-lateral clear-thinking middleware for enhance back-end functionalities,0.0
